barkod,adi,fiyat
8693360000000,98328 KOMİDİN SÜRAHİSİ DESENLİ,48.0
8693360000000,98348 ŞEKERLİK DAPHNE,26.0
8693360000000,98537 BARREL BARDAK 12'Lİ COLOR,46.0
8693360000000,98555 F&D GLAMOUR ŞEKERLİK,94.0
8693360000000,98665 KAVANOZ DESENLİ,46.0
8693360000000,98666 KAVANOZ DESENLİ,72.0
8693360000000,98775 ŞEKERLİK,242.0
8693360000000,98872 KASE AYAKLI,184.0
8693360000000,98872 KASE AYAKLI,184.0
8693360000000,98929 F&D RATTAN AYAKLI KASE,128.0
8693360000000,98931 F&D CHOCOLATE KASE AYAKLI,146.0
8680860000000,A.ARSLAN 1. CAY KASIGI 6LI,115.0
8680860000000,A.ARSLAN 1. CAY KASIGI 6LI,115.0
8680860000000,A.ARSLAN 1. PASTA BICAGI 2LI,130.0
8680860000000,A.ARSLAN 1. PASTA BICAGI 2LI,130.0
8680860000000,A.ARSLAN 1. PASTA BICAGI 2LI,130.0
8680860000000,A.ARSLAN 1. TATLI CATALI 6LI,130.0
8680860000000,A.ARSLAN 1. TATLI CATALI 6LI,130.0
8680860000000,A.ARSLAN 1. TATLI KASIGI 6LI,130.0
8680860000000,A.ARSLAN 1. TATLI KASIGI 6LI,130.0
8680860000000,A.ARSLAN 1. YEMEK BIÇAĞI 2Lİ,130.0
8680860000000,A.ARSLAN 1. YEMEK BIÇAĞI 2Lİ,130.0
8680860000000,A.ARSLAN 1. YEMEK CATALI  6LI,130.0
8680860000000,A.ARSLAN 1. YEMEK CATALI  6LI,130.0
8680860000000,A.ARSLAN 1. YEMEK KASIGI 6LI,130.0
8680860000000,A.ARSLAN 1. YEMEK KASIGI 6LI,130.0
8680860000000,A.ARSLAN CAY KASIKI 6LI,115.0
8680860000000,A.ARSLAN TATLI CATALI 6LI,170.0
8680860000000,A.ARSLAN TATLI KASIGI 6LI,170.0
8680860000000,A.ARSLAN YEMEK BICAGI 3LU,130.0
8680860000000,A.ARSLAN YEMEK CATALI 6LI,190.0
8680860000000,A.ARSLAN YEMEK KASIGI 6LI,190.0
6700000000000,"KORKMAZ A1297 LİNA 26-5,5 TAVA 2,5LT",165.0
6700000000000,"KORKMAZ A1297 LİNA 26*7,5 305LT BASIK TENCERE",308.0
6700000000000,"KORKMAZ A1297 LİNA 22*11 DERIN TENCERE BYK 3,8LT",220.0
6700000000000,KORKMAZ A2390 36 PARCA CKB SET,506.0
6700000000000,ABKA 49 İSPİR ALTIN 49PARÇA SU TAKIMI,3780.0
