Stok ismi;Stok bar kodu;
ABKA 440141 AYAKLI SU DAMLASI BARDAK;6700000014055;2352
ABKA 440141 BAROK AYAKLI RENKLI BARDAK;6700000014123;2352
ABKA 440141 BAROK AYAKLI SADE BARDAK;6700000014116;860
ABKA 440141 PRESTİJ BARDAK;6700000015809;1028
ABKA 444011 BROŞLU ŞEKERLİK GÜMÜŞ;6700000001871;180
ABKA 444011 BROŞLU ŞEKERLİK SARI;6700000001529;374
ABKA 44597 AYAKLI BRD.NERGİS 6LI;6700000005404;2352
ABKA 486-184 ZEMZEM TK.LBY DANTEL;6700000001710;998
ABKA 486-244 ZEMZEM TAKIMI HD YILDIZ;6700000003097;898
ABKA 486-309 ZEMZEM TK.İPEK ALTIN;6700000001727;2340
ABKA 752-184 ZEMZEM TK.LBY DANTEL;6700000005428;2246
ABKA 752-309 ZEMZEM TAKIMI İPEK ALTIN;6700000014642;1372
ABKA 87221 SOFRA TK.32 PARÇA RUMEYSA PLT;6700000001734;4264
ABKA 90812 AB BAKARA EZGİ ALTIN ŞİŞE;6700000001604;2246
ABKA 90812 AB BAKARA EZGİ PLATİN ŞİŞE;6700000007194;2246
ABKA 90812 BAROK SISE RENKLI;6700000014178;2246
ABKA 90812 BAROK SISE SADE;6700000014161;1160
ABKA 90812 İRİS ŞİŞE TURKZ.ALTIN;6700000007798;1372
ABKA 90812 KARE ŞİŞE;6700000001567;2246
